Employee_ID,Experience_Years,Age,Department,Salary,Employees
81,8.2,,Finance,95000.0,43.0
143,1.2,,,61700.0,84.0
77,5.5,31.0,IT,94300.0,51.0
156,10.0,45.0,Management,180900.0,19.0
87,7.1,37.0,Finance,86100.0,29.0
75,7.1,32.0,IT,91700.0,59.0
10,,20.0,HR,30300.0,20.0
91,9.0,44.0,Finance,,36.0
68,4.7,32.0,IT,95100.0,45.0
41,3.7,34.0,IT,91100.0,49.0
25,2.9,26.0,HR,38500.0,19.0
82,6.0,30.0,Finance,116100.0,38.0
37,6.0,34.0,IT,69800.0,46.0
128,4.1,26.0,Sales,68900.0,69.0
15,1.5,24.0,HR,38800.0,22.0
58,4.2,34.0,IT,72800.0,56.0
127,3.0,27.0,Sales,54700.0,62.0
164,11.3,37.0,Management,194900.0,15.0
47,5.1,34.0,IT,85800.0,54.0
17,3.5,29.0,HR,38700.0,23.0
117,3.8,28.0,Sales,73800.0,76.0
142,5.8,27.0,Sales,36400.0,61.0
50,3.9,,IT,80300.0,47.0
146,4.5,27.0,Sales,74900.0,89.0
135,2.7,27.0,Sales,78300.0,65.0
165,12.0,,Management,153000.0,14.0
5,1.3,26.0,HR,,15.0
157,16.0,40.0,Management,136400.0,14.0
9,2.5,22.0,HR,42900.0,16.0
67,5.0,26.0,IT,97400.0,45.0
103,8.2,39.0,Finance,113400.0,30.0
45,5.5,37.0,IT,79000.0,72.0
138,4.6,27.0,Sales,66800.0,68.0
99,5.4,45.0,Finance,115600.0,33.0
151,13.9,38.0,Management,167300.0,19.0
52,3.0,27.0,IT,83800.0,58.0
154,12.7,37.0,Management,194300.0,15.0
144,4.5,28.0,Sales,77800.0,51.0
44,5.4,32.0,IT,,60.0
171,13.8,37.0,Management,142100.0,16.0
159,11.6,41.0,Management,130700.0,10.0
111,8.8,36.0,Finance,80700.0,34.0
168,5.4,48.0,Management,163900.0,8.0
147,4.3,30.0,Sales,58200.0,62.0
51,6.1,33.0,IT,93200.0,61.0
129,3.6,25.0,Sales,55700.0,76.0
133,4.4,25.0,Sales,74800.0,56.0
66,3.8,31.0,IT,47200.0,48.0
72,9.3,23.0,IT,84700.0,58.0
132,2.9,22.0,Sales,39000.0,70.0
107,9.3,43.0,Finance,94600.0,37.0
93,8.2,32.0,,105100.0,37.0
112,5.4,39.0,Finance,105900.0,
120,4.9,30.0,Sales,112000.0,79.0
7,1.8,25.0,HR,30300.0,21.0
71,5.7,34.0,IT,97700.0,46.0
116,6.9,29.0,Sales,57800.0,71.0
67,5.0,26.0,IT,97400.0,45.0
125,2.4,28.0,Sales,49800.0,58.0
31,3.4,22.0,HR,47600.0,15.0
16,1.9,24.0,HR,30700.0,16.0
69,7.6,31.0,IT,74300.0,58.0
85,6.3,34.0,Finance,107600.0,32.0
90,8.0,35.0,Finance,108400.0,31.0
3,,27.0,HR,34500.0,18.0
62,3.3,30.0,IT,74300.0,50.0
